Iterations,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
1,0.9796,0.9522,0.0700,0.1671
6,0.9769,0.9522,0.0704,0.1672
11,0.9735,0.9522,0.0716,0.1675
16,0.9699,0.9521,0.0734,0.1678
100,0.7543,0.9396,0.2416,0.2082
150,0.6556,0.9332,0.3206,0.2299
200,0.6304,0.9332,0.3396,0.2315
300,0.5259,0.9239,0.4551,0.2585
400,0.4476,0.9187,0.5093,0.2747
500,0.3694,0.9145,0.5641,0.2875
600,0.2879,0.9139,0.6399,0.2936
700,0.2766,0.9157,0.6634,0.2891
800,0.2749,0.9179,0.6734,0.2847
900,0.2669,0.9191,0.6828,0.2805
1000,0.2697,0.9211,0.6756,0.2753
1200,0.2599,0.9247,0.6967,0.2645
1400,0.2730,0.9244,0.6893,0.2646
1600,0.2484,0.9280,0.7434,0.2549
2000,0.2591,0.9286,0.7414,0.2530
4000,0.2772,0.9308,0.7216,0.2440
