Gamma,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
-0.0,0.9800,0.9500,0.0567,0.1492
0.005,0.9770,0.9480,0.0620,0.1455
0.01,0.9640,0.9400,0.0939,0.1763
0.015,0.9490,0.9280,0.1339,0.2427
0.02,0.9260,0.9060,0.2091,0.3218
0.025,0.8660,0.8770,0.3645,0.4452
0.03,0.8280,0.8530,0.4726,0.5132
0.035,0.7840,0.8120,0.5980,0.6575
0.04,0.7450,0.7770,0.7341,0.7059
0.045,0.7170,0.7680,0.8045,0.7822
0.05,0.6560,0.7400,0.9697,0.8635
0.08,0.4520,0.6470,1.6159,1.2602
0.1,0.3610,0.6050,1.9969,1.4597
0.12,0.2860,0.5830,2.1686,1.5793
0.15,0.2000,0.5830,2.4292,1.7087
0.2,0.1360,0.5440,2.6349,1.9655
0.22,0.1270,0.5380,2.7939,1.9406
