latent_dim,mse,accuracy
0,0.019863354,0.012500000186264515
100,0.0074987616,0.5375000238418579
200,0.0076103075,0.512499988079071
300,0.0070869164,0.6499999761581421
400,0.006419054,0.6625000238418579
500,0.006320947,0.7250000238418579
600,0.0057989703,0.737500011920929
700,0.0056712027,0.75
800,0.005543988,0.75
900,0.0055661667,0.75
1000,0.0060329903,0.7124999761581421
1100,0.0053996597,0.75
1200,0.0057698702,0.762499988079071
1300,0.005379227,0.762499988079071
1400,0.0053095235,0.762499988079071
1500,0.0051482907,0.7749999761581421
1600,0.005418113,0.7749999761581421
1700,0.005387581,0.762499988079071
1800,0.0052023157,0.7749999761581421
1900,0.0054102484,0.7875000238418579
2000,0.005262219,0.75
2100,0.005171173,0.7749999761581421
2200,0.0049728723,0.762499988079071
2300,0.005003874,0.7875000238418579
2400,0.005258535,0.800000011920929
2500,0.0051335553,0.7749999761581421
2600,0.005016276,0.75
2700,0.0050937347,0.7749999761581421
2800,0.004983335,0.7875000238418579
2900,0.0049613453,0.7875000238418579
3000,0.0048793945,0.800000011920929
3100,0.00494635,0.7875000238418579
3200,0.0050861184,0.7749999761581421
3300,0.005264698,0.75
3400,0.0049055824,0.7875000238418579
3500,0.004970626,0.762499988079071
3600,0.005125759,0.7875000238418579
3700,0.00506173,0.7749999761581421
3800,0.005053752,0.7749999761581421
3900,0.0050073084,0.7749999761581421
4000,0.005324711,0.7749999761581421
